"Bolge","Gostergeler","Y2005_01","Y2006_01","Y2007_01","Y2008_01","Y2009_01","Y2010_01","Y2011_01","Y2012_01","Y2013_01","Y2014_01","Y2015_01","Y2016_01","Y2017_01","Y2018_01"
"TR31","Eðlence Ve Kültür",120.88,122.42,133.41,130.8,144.35,150.07,147,158.13,159.07,164.29,176.12,196.5,212.31,232.53
"TR31","Gýda Ve Alkolsüz Ýçecekler",113.13,120.3,136.96,152.29,166.33,179.66,196.15,214.92,232.28,261.38,291.95,331.39,356.58,398.15
"TR31","Giyim Ve Ayakkabý",106.46,113.66,110.04,110.85,109.33,107.51,110.19,124.95,129.1,134.58,149.78,164.13,177.35,200.33
"TR31","Haberleþme",103.72,107.56,108.6,105.26,110.8,113.02,112.06,113.73,120.41,121.55,125.7,129.11,133.06,132.17
"TR31","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",118.46,132.08,146.29,163.2,186.18,203.55,220.77,240.45,252.79,266.16,284.73,303.58,322.64,361.91
"TR31","Lokanta Ve Oteller",128.6,145.62,168.06,187.49,217.23,232.58,252.41,276.12,307.59,343.74,388.99,449.24,493.52,556
"TR31","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",110.39,118.44,126.37,133.84,147.58,143.96,150.37,167.96,178.55,190.63,203.88,231,249.19,285.79
"TR31","Saðlýk",114.13,113.91,122.49,123.12,126.27,129.12,131.2,131.52,134.65,149.3,159.22,173.87,190.63,210.95
"TR31","Ulaþtýrma",123.88,134.71,141.47,151.23,154.57,170.68,178.79,199.51,210.84,237.4,234.9,253.03,292.1,338.76
"TR32","Alkollü Ýçecekler Ve Tütün",122.61,164.14,165.15,194.31,195.37,287.27,298.19,354.54,408.82,425.73,446.62,498.67,609.39,619.54
"TR32","Çeþitli Mal Ve Hizmetler",119.25,133.25,147.33,156.05,176.65,190.73,202.72,235.89,257.01,265.21,285.52,329.02,364.82,407.96
"TR32","Eðitim",129.06,147.47,155.83,162.01,166.61,171.72,204,214.21,217.82,238.36,255.67,278.13,299.4,333.94
"TR32","Eðlence Ve Kültür",119.24,123.79,132.43,133.52,145.56,160.4,155.58,166.33,169.9,182.58,193.41,212.76,226.78,244.89
"TR32","Gýda Ve Alkolsüz Ýçecekler",113.08,119.37,135.15,151.07,163.14,179.91,196.65,218.74,231.68,254.27,287.4,320.77,342.43,376.25
"TR32","Giyim Ve Ayakkabý",121.04,119.5,121.79,119.54,118.65,123.9,133.05,136.85,143.02,149.6,158.85,170.89,172.17,183.54
"TR32","Haberleþme",103.82,107.07,107.73,102.98,108.26,110.79,108.77,110.19,116.67,116.53,120.12,123.29,127.18,127.57
"TR32","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",119.38,134.45,148.43,167.9,191.49,199.47,208.4,226.1,243.69,254.22,283.54,304.99,333.52,375.02
"TR32","Lokanta Ve Oteller",124.22,137.03,157.39,175.72,202.65,212.94,230.59,260.95,280.25,317.22,363.91,414.53,455.58,519.11
"TR32","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",111.91,121.28,130.96,136.07,148.94,145.85,149.58,166.51,173.95,189.5,204.29,228.71,246.86,282.52
"TR32","Saðlýk",116.58,116.37,126.04,126.28,128.98,131.43,136.03,137.23,141.88,147.19,161.34,174.84,196.47,216.5
"TR32","Ulaþtýrma",119.94,135.87,144.64,154.16,155.84,172.31,180.93,205.97,213.18,238.44,233.87,249.08,292.18,336.55
"TR33","Alkollü Ýçecekler Ve Tütün",121.09,164.09,164.7,195.41,195.79,294.35,302.48,359.58,416.78,433.46,452.66,503.09,618.06,624.19
"TR33","Çeþitli Mal Ve Hizmetler",113.72,125.03,142.67,153.15,174.93,194.29,214.5,257.05,280.3,291.93,316.97,363.71,414.68,461.62
"TR33","Eðitim",140.25,142.03,151.12,155.97,170.05,183.84,199.83,210.57,221.52,238.08,264,277.07,323.5,344.69
"TR33","Eðlence Ve Kültür",106.69,114.8,119.82,114.5,123.09,133.15,129.95,139.82,142.55,152.54,160.98,180.54,192.43,204.51
"TR33","Gýda Ve Alkolsüz Ýçecekler",111.87,118.76,132.19,146.5,162.16,173.52,191.37,212.64,224.22,244.43,272.69,305.06,325.8,354.21
